Date,Home Team,Away Team,Full Time Home Goals,Full Time Away Goals,Full Time Result,Half Time Home Goals,Half Time Away Goals,Half Time Result,Home Shots,Away Shots,Home Shots on Target,Away Shots on Target,Home Fouls,Away Fouls,Home Cards,Away Cards,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards
08/18/2012,Arsenal,Sunderland,0,0,D,0,0,D,14,3,4,2,12,8,7,0,0,0,0,0
08/18/2012,Fulham,Norwich,5,0,H,2,0,H,11,4,9,2,12,11,6,3,0,0,0,0
08/18/2012,Newcastle,Tottenham,2,1,H,0,0,D,6,12,4,6,12,8,3,5,2,2,0,0
08/18/2012,QPR,Swansea,0,5,A,0,1,A,20,12,11,8,11,14,5,3,2,2,0,0
08/18/2012,Reading,Stoke,1,1,D,0,1,A,9,6,3,3,9,14,4,3,2,4,0,1
08/18/2012,West Brom,Liverpool,3,0,H,1,0,H,15,14,10,7,10,11,7,3,1,4,0,1
08/18/2012,West Ham,Aston Villa,1,0,H,1,0,H,8,10,4,6,17,8,6,4,0,1,0,0
08/19/2012,Man City,Southampton,3,2,H,1,0,H,20,9,15,6,4,6,7,3,1,2,0,0
08/19/2012,Wigan,Chelsea,0,2,A,0,2,A,12,5,4,3,16,11,7,1,2,2,0,0
08/20/2012,Everton,Man United,1,0,H,0,0,D,16,12,7,7,12,11,6,8,1,2,0,0
08/22/2012,Chelsea,Reading,4,2,H,1,2,A,23,7,11,5,11,14,1,5,0,2,0,0
08/25/2012,Aston Villa,Everton,1,3,A,0,3,A,7,19,3,11,10,7,1,9,1,0,1,0
08/25/2012,Chelsea,Newcastle,2,0,H,2,0,H,11,11,6,5,8,10,2,3,1,0,0,0
08/25/2012,Man United,Fulham,3,2,H,3,1,H,20,14,11,11,12,7,8,8,0,1,0,0
08/25/2012,Norwich,QPR,1,1,D,1,1,D,13,6,4,4,15,14,6,2,0,2,0,0
08/25/2012,Southampton,Wigan,0,2,A,0,0,D,14,12,9,8,11,9,10,3,0,0,0,0
08/25/2012,Swansea,West Ham,3,0,H,2,0,H,10,7,7,6,13,17,5,4,2,4,0,0
08/25/2012,Tottenham,West Brom,1,1,D,0,0,D,18,10,10,5,8,7,7,5,1,2,0,0
08/26/2012,Liverpool,Man City,2,2,D,1,0,H,15,11,8,5,10,7,4,4,1,0,0,0
08/26/2012,Stoke,Arsenal,0,0,D,0,0,D,7,16,4,6,9,9,0,11,2,0,0,0
09/01/2012,Man City,QPR,3,1,H,1,0,H,19,9,12,5,12,3,8,3,2,1,0,0
09/01/2012,Swansea,Sunderland,2,2,D,1,2,A,14,4,10,3,11,7,8,0,1,1,1,0
09/01/2012,Tottenham,Norwich,1,1,D,0,0,D,15,10,9,4,7,12,4,2,1,0,1,0
09/01/2012,West Brom,Everton,2,0,H,0,0,D,14,12,8,5,11,15,6,3,1,4,0,0
09/01/2012,West Ham,Fulham,3,0,H,3,0,H,17,14,12,13,12,5,6,6,0,0,0,0
